Municipality_ID,Location_Name_En,Location_Name_Arabic ,Latitude,Longitude,Governorate,Governorate_Ar,UN_AreaOfOperation,UN_AreaOfOperation_Ar,District,District_Ar,Google_Map_link
M584,Rechkananey,رشكنانيه,33.19017,35.32291,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.19017,35.32291"
M499,Rihane Jezzine,ريحانة جزين,33.44440,35.56669,South,الجنوب,South,الجنوب,Jezzine,جزين,"http://maps.google.com/maps?q=33.4444,35.56669"
M531,Raimat,ريمات,33.52861,35.50866,South,الجنوب,South,الجنوب,Jezzine,جزين,"http://maps.google.com/maps?q=33.52861,35.50866"
M572,Rmadiyeh,رمادية,33.19863,35.27513,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.19863,35.27513"
M641,Rmaich,رميش,33.07935,35.36801,El Nabatieh,النبطية,South,الجنوب,Bent Jbeil,بنت جبيل,"http://maps.google.com/maps?q=33.07935,35.36801"
M505,Roum,روم,33.54980,35.52660,South,الجنوب,South,الجنوب,Jezzine,جزين,"http://maps.google.com/maps?q=33.5498,35.5266"
M628,Roumine,رومين,33.46330,35.44071,El Nabatieh,النبطية,South,الجنوب,El Nabatieh,النبطية,"http://maps.google.com/maps?q=33.4633,35.44071"
M523,Sabah,صّباح,33.56841,35.56430,South,الجنوب,South,الجنوب,Jezzine,جزين,"http://maps.google.com/maps?q=33.56841,35.5643"
M548,Siddiqine,صديقين,33.18981,35.30925,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.18981,35.30925"
M664,Safad el Battikh,صفد البطيخ,33.20011,35.43179,El Nabatieh,النبطية,South,الجنوب,Bent Jbeil,بنت جبيل,"http://maps.google.com/maps?q=33.20011,35.43179"
M949,Saida Ed Dekermane,صيدا الدكرمان,33.55354,35.36488,South,الجنوب,South,الجنوب,Saida,صيدا,"http://maps.google.com/maps?q=33.55354,35.36488"
M954,Saksakiye,سكسكية,33.43574,35.28273,South,الجنوب,South,الجنوب,Saida,صيدا,"http://maps.google.com/maps?q=33.43574,35.28273"
M710,Slaiyeb,صلايب,33.29233,35.63096,El Nabatieh,النبطية,South,الجنوب,Hasbaya,حاصبيا,"http://maps.google.com/maps?q=33.29233,35.63096"
M488,Salhiye,صالحية,33.55986,35.42295,South,الجنوب,South,الجنوب,Saida,صيدا,"http://maps.google.com/maps?q=33.55986,35.42295"
M527,Sniye,سنيَا,33.51791,35.52745,South,الجنوب,South,الجنوب,Jezzine,جزين,"http://maps.google.com/maps?q=33.51791,35.52745"
M705,Souane Marjaayoun,صوانة مرجعيون,33.23396,35.43673,El Nabatieh,النبطية,South,الجنوب,Marjaayoun,مرجعيون,"http://maps.google.com/maps?q=33.23396,35.43673"
M951,Sarafand,صرفند,33.44983,35.29486,South,الجنوب,South,الجنوب,Saida,صيدا,"http://maps.google.com/maps?q=33.44983,35.29486"
M625,Sarba El Nabatieh,صربا النبطية,33.46696,35.47499,El Nabatieh,النبطية,South,الجنوب,El Nabatieh,النبطية,"http://maps.google.com/maps?q=33.46696,35.47499"
M521,Sidoun,صيدون,33.52107,35.51119,South,الجنوب,South,الجنوب,Jezzine,جزين,"http://maps.google.com/maps?q=33.52107,35.51119"
M511,Sejoud,سجد,33.43408,35.53283,South,الجنوب,South,الجنوب,Jezzine,جزين,"http://maps.google.com/maps?q=33.43408,35.53283"
M569,Salaa,سلعا ,33.25404,35.37963,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.25404,35.37963"
M509,Sfarai,صفاريه,33.55451,35.49307,South,الجنوب,South,الجنوب,Jezzine,جزين,"http://maps.google.com/maps?q=33.55451,35.49307"
M613,Sir el Gharbiye,صير الغربية,33.32005,35.36321,El Nabatieh,النبطية,South,الجنوب,El Nabatieh,النبطية,"http://maps.google.com/maps?q=33.32005,35.36321"
M659,Soultaniye,سلطانية ,33.20481,35.40445,El Nabatieh,النبطية,South,الجنوب,Bent Jbeil,بنت جبيل,"http://maps.google.com/maps?q=33.20481,35.40445"
M532,Sour,صور,33.27412,35.19252,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.27412,35.19252"
M540,Srifa,صريفا,33.28166,35.39624,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.28166,35.39624"
M665,Sribbine,صربين,33.15369,35.35788,El Nabatieh,النبطية,South,الجنوب,Bent Jbeil,بنت جبيل,"http://maps.google.com/maps?q=33.15369,35.35788"
M704,Tallouse,طلوسة,33.23625,35.48417,El Nabatieh,النبطية,South,الجنوب,Marjaayoun,مرجعيون,"http://maps.google.com/maps?q=33.23625,35.48417"
M489,Tanbourit,طنبوريت,33.51596,35.41220,South,الجنوب,South,الجنوب,Saida,صيدا,"http://maps.google.com/maps?q=33.51596,35.4122"
M687,Taibe Marjaayoun,طيبة مرجعيون,33.27627,35.51966,El Nabatieh,النبطية,South,الجنوب,Marjaayoun,مرجعيون,"http://maps.google.com/maps?q=33.27627,35.51966"
M544,Tair Debba,طير دبّه,33.27406,35.27761,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.27406,35.27761"
M552,Tair Filsay,طير فلسيه,33.30896,35.34698,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.30896,35.34698"
M566,Tair Harfa,طير حرفا,33.12696,35.21820,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.12696,35.2182"
M958,Toufahta,تفاحتا,33.43755,35.37121,South,الجنوب,South,الجنوب,Saida,صيدا,"http://maps.google.com/maps?q=33.43755,35.37121"
M637,Tebnine,تبنين,33.19398,35.40878,El Nabatieh,النبطية,South,الجنوب,Bent Jbeil,بنت جبيل,"http://maps.google.com/maps?q=33.19398,35.40878"
M655,Taire,طيري,33.13925,35.39971,El Nabatieh,النبطية,South,الجنوب,Bent Jbeil,بنت جبيل,"http://maps.google.com/maps?q=33.13925,35.39971"
M633,Toul,تول,33.38783,35.44768,El Nabatieh,النبطية,South,الجنوب,El Nabatieh,النبطية,"http://maps.google.com/maps?q=33.38783,35.44768"
M703,Touline,تولين,33.24913,35.43823,El Nabatieh,النبطية,South,الجنوب,Marjaayoun,مرجعيون,"http://maps.google.com/maps?q=33.24913,35.43823"
M547,Toura,طورا,33.29357,35.29673,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.29357,35.29673"
M513,Wadi Jezzine,وادي جزين,33.55079,35.57926,South,الجنوب,South,الجنوب,Jezzine,جزين,"http://maps.google.com/maps?q=33.55079,35.57926"
M582,Ynouh,يانوح صور,33.26019,35.30292,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.26019,35.30292"
M560,Yarine,يارين,33.10639,35.23134,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.10639,35.23134"
M648,Yaroun,يارون,33.08004,35.42262,El Nabatieh,النبطية,South,الجنوب,Bent Jbeil,بنت جبيل,"http://maps.google.com/maps?q=33.08004,35.42262"
M649,Yater,ياطر,33.15369,35.32802,El Nabatieh,النبطية,South,الجنوب,Bent Jbeil,بنت جبيل,"http://maps.google.com/maps?q=33.15369,35.32802"
M622,Yohmor,يحمر,33.30973,35.51552,El Nabatieh,النبطية,South,الجنوب,El Nabatieh,النبطية,"http://maps.google.com/maps?q=33.30973,35.51552"
M620,Zaoutar ech Charqiye,زوطر الشرقية,33.31974,35.47104,El Nabatieh,النبطية,South,الجنوب,El Nabatieh,النبطية,"http://maps.google.com/maps?q=33.31974,35.47104"
M621,Zaoutar el Gharbiye,زوطر الغربية,33.32177,35.46184,El Nabatieh,النبطية,South,الجنوب,El Nabatieh,النبطية,"http://maps.google.com/maps?q=33.32177,35.46184"
